source,target,distance
东港区,成武县,3.603701784486164
东港区,招远市,2.1080333689546435
东港区,文登区,3.0844695306301935
东港区,新泰市,1.894181275175324
东港区,无棣县,2.9616962060768217
东港区,昌乐县,1.2314185430095557
东港区,昌邑市,1.3555002759324593
东港区,曲阜市,2.480589690924281
东港区,曹县,3.965596840267285
东港区,李沧区,1.2306181553531998
东港区,栖霞市,2.387262990240275
东港区,桓台县,2.1261699364073974
东港区,梁山县,3.387648585111569
东港区,槐荫区,2.7790506410227445
东港区,武城县,3.828250978284751
东港区,汶上县,2.9887930955074196
东港区,沂南县,1.0042919100159093
东港区,沂水县,0.9106551980730739
东港区,沂源县,1.446523726724309
东港区,河东区,1.011176630906048
东港区,河口区,2.6701301003256637
东港区,沾化区,2.6333704861082534
东港区,泗水县,2.1956704546895525
东港区,泰山区,2.3905380956891618
东港区,济阳区,2.7272087746460527
东港区,海阳市,2.2271317796852244
东港区,淄川区,1.92863916014186
东港区,滕州市,2.323079572388734
东港区,滨城区,2.4331162970055495
东港区,潍城区,1.3493257686394557
东港区,牟平区,2.7817203079079147
东港区,牡丹区,4.0481029030700935
东港区,环翠区,3.3341202813018307
东港区,福山区,2.6720559358840634
东港区,禹城市,3.2615210712817255
东港区,章丘区,2.3190564385697483
东港区,罗庄区,1.2531720157797341
东港区,肥城市,2.808487036483568
东港区,胶州市,0.9514260698295496
东港区,芝罘区,2.8315329563542733
东港区,茌平区,3.4086534765808247
东港区,荣成市,3.426457802526526
东港区,莒南县,0.67529922793446
东港区,莒县,0.6438896329279554
东港区,莘县,3.876404289576277
东港区,莱山区,2.8277043842703877
东港区,莱州市,1.866526345071861
东港区,莱芜区,1.949714592507592
东港区,莱西市,1.7356215416734284
东港区,莱阳市,1.9394789118955933
东港区,蒙阴县,1.5436348177557793
东港区,蓬莱区,2.613105338878378
东港区,薛城区,2.287607493891907
东港区,诸城市,0.6167283391850554
东港区,费县,1.4977232087641017
东港区,邹城市,2.488739610081013
东港区,邹平市,2.240946172177494
东港区,郓城县,3.5229321217306047
东港区,郯城县,1.3631495271916818
东港区,鄄城县,3.9544483239813366
东港区,金乡县,3.170680235465062
东港区,钢城区,1.7681102722272108
东港区,长清区,2.9338936047318755
东港区,阳信县,2.9083329103540803
东港区,阳谷县,3.7345037267079
东港区,青州市,1.5899568533477046
东港区,高唐县,3.537380401289365
东港区,高密市,1.0277122652064934
东港区,高青县,1.8669940891393877
东港区,鱼台县,2.84771734091625
东港区,黄岛区,0.9878674757629694
东港区,齐河县,3.0661417739296315
东港区,龙口市,2.412002800151226
东营区,东平县,2.651238793012506
东营区,东昌府区,2.7852959089828997
东营区,东明县,4.088893349732857
东营区,东港区,2.1674061862643534
东营区,东营区,0.1
东营区,东阿县,2.573953775553026
东营区,临朐县,1.0654785069683548
东营区,临沭县,2.489301884931322
东营区,临淄区,0.6537867949874814
东营区,临清市,2.916795000149146
东营区,临邑县,1.7049027207439833
东营区,乐陵市,1.4671908572616659
东营区,乳山市,2.971457088839887
东营区,五莲县,1.770944620430364
东营区,任城区,2.824035712207003
东营区,兖州区,2.5493669763309166
东营区,兰山区,2.3518491902573326
东营区,兰陵县,2.6130167962703235
东营区,冠县,3.277370139296203
东营区,利津县,0.21584586183675458
东营区,单县,3.616804076064731
东营区,博兴县,0.527759601675802
东营区,博山区,1.168451804992248
东营区,即墨区,2.181982410149644
东营区,历下区,1.682581606468016
东营区,历城区,1.6849234930824144
东营区,台儿庄区,2.9706192836104472
东营区,周村区,0.9390662930226988
东营区,商河县,1.3783224597415562
东营区,嘉祥县,3.0069029546281176
东营区,坊子区,1.0290834965591913
东营区,垦利区,0.32555092595526297
东营区,城阳区,2.088838383824543
东营区,夏津县,2.597591898549152
东营区,天桥区,1.7584200665639043
东营区,奎文区,0.9126720653772629
东营区,宁津县,1.842192520046088
东营区,宁阳县,2.274859384686834
东营区,安丘市,1.1685428996626692
东营区,定陶区,3.8139155285116897
东营区,寒亭区,0.7757692602892298
东营区,寿光市,0.49234518007235123
东营区,山亭区,2.5686171095393187
东营区,岚山区,2.40075449195656
